Time,Average Throughput,Average Latency,CPU Usage %,Memory Usage %,Node Count
1712922203.2435606,3608.3,0.0002760803891441409,1.5894255,58.8623046875,14
1712922233.2604904,3873.5333333333333,0.00025561852042585523,1.6124264999999998,61.5478515625,14
1712922263.6826322,4037.0666666666666,0.0002483829528150427,1.6740140000000001,61.5234375,14
1712922293.2399833,3845.2,0.00025373520155530716,1.6404369999999997,61.767578125,14
1712922323.2334976,3963.5,0.0002497235457724044,1.614832,62.2314453125,14
1712922353.230837,4028.633333333333,0.0002456284513075735,1.6451825,62.8662109375,14
1712922383.3822145,3883.9,0.00025487662689686457,1.7551964999999998,62.8662109375,14
1712922413.2508225,3902.266666666667,0.0002524429673145258,1.6813375000000002,62.841796875,14
1712922443.2756267,3980.6666666666665,0.00024865467411412445,1.6388055,63.1103515625,14
1712922474.0446897,3949.0,0.00025033772701129155,1.589052,63.4033203125,14
1712922504.1789453,3922.6,0.0002454521277615413,1.6319194999999997,63.9892578125,14
1712922533.2694051,3794.366666666667,0.0002527394758753423,1.7152779999999999,64.2822265625,14
1712922564.779812,3984.6,0.00024831589601124814,1.7545455,64.2822265625,14
1712922595.568611,3692.1666666666665,0.00025452401725959496,1.709337,64.2822265625,14

