timestamp,total_requests,throughput,average_latency,avg_cpu_usage,avg_memory_usage
1711402351.4647949,1,0.16625411363885723,0.0015964508056640625,3.2075438333333337,13.442708333333334
1711402359.2656372,2,0.14476251694295872,0.0016571283340454102,3.2075438333333337,13.442708333333334
1711402365.0383058,3,0.15315186813662168,0.002295255661010742,3.1434226666666674,13.447916666666666
1711402375.1427383,5,0.16839080762030006,0.0022926807403564455,3.1434226666666674,13.447916666666666
1711402382.2000926,6,0.1632644778347556,0.002359310785929362,3.162092,13.434895833333334
1711402392.214728,7,0.1496851629001843,0.002202681132725307,3.2347105000000003,13.436197916666666
1711402400.6247368,8,0.14499364841017445,0.002276003360748291,3.2347105000000003,13.436197916666666
1711402409.6930084,9,0.1400928609623909,0.002408583958943685,3.146714833333333,13.43359375
1711402416.7135143,10,0.14032407634365193,0.002522563934326172,3.146714833333333,13.43359375
1711402426.7095313,11,0.13536857908716546,0.00240336764942516,3.2283893333333338,13.434244791666666
1711402435.4453852,12,0.13334003128918887,0.002320587635040283,3.2283893333333338,13.434244791666666
1711402445.3091743,13,0.13018320918859044,0.002424001693725586,3.176665833333334,13.432291666666666
1711402454.9860897,14,0.12781164671283143,0.002506920269557408,3.1037083333333335,13.436197916666666
1711402463.7108548,15,0.12683815046486713,0.002426401774088542,3.1037083333333335,13.436197916666666
1711402473.558112,16,0.12489441953130914,0.002354919910430908,3.1370075000000006,13.435546875
1711402483.299743,17,0.12332259791803829,0.002387832192813649,3.2066466666666673,13.43359375
1711402491.822214,18,0.12297408077608124,0.00245001580980089,3.2066466666666673,13.43359375
1711402501.2314014,19,0.1219657056149052,0.002381274574681332,3.0918993333333336,13.434895833333334
1711402510.598709,20,0.12110290621072774,0.0024174928665161135,3.0918993333333336,13.434895833333334
1711402519.7425282,21,0.12048702778268003,0.00235597292582194,3.1345411666666667,13.434895833333334
1711402527.3931193,22,0.1209168487799813,0.0023419098420576615,3.1584141666666667,13.434244791666666
1711402535.2773173,23,0.12116269119228461,0.0023895346600076427,3.1584141666666667,13.434244791666666
1711402541.717195,24,0.12228222100415063,0.0023437440395355225,3.1209698333333336,13.4375
1711402549.263042,25,0.12266137751241059,0.002297325134277344,3.1209698333333336,13.4375
1711402557.8434935,26,0.12241424199428175,0.002347120871910682,3.0466863333333336,13.440104166666666
1711402567.4161105,27,0.12164013919324543,0.0023017812658239294,3.0466863333333336,13.440104166666666
1711402577.312472,28,0.12076119264846247,0.002320042678288051,3.0130576666666666,13.440104166666666
1711402586.8288946,29,0.12014301733421257,0.002363073414769666,3.126189,13.44140625
1711402596.0176392,30,0.11972810559006138,0.0023265838623046874,3.126189,13.44140625
1711402605.8866866,31,0.11903080642492735,0.0023500765523602886,3.2206766666666673,13.439453125
1711402614.0546079,32,0.11913417669396664,0.0023750364780426025,3.2206766666666673,13.439453125
1711402622.1074297,33,0.1192810503280927,0.002337347377430309,3.0691423333333336,13.44140625
1711402632.6413796,35,0.121869913390535,0.0023714814867292133,3.145049666666667,13.461588541666666
1711402638.8679748,36,0.12269183069043721,0.0023369060622321237,3.145049666666667,13.461588541666666
1711402644.6361365,37,0.12366879300537074,0.0023470118239119248,3.145049666666667,13.461588541666666

