timestamp,total_requests,throughput,average_latency
1711129546.429993,209,10.37986919328359,0.0013292326311175333
1711129546.4544888,210,10.416860281880572,0.0013270673297700428
1711129546.5012684,211,10.442253908006972,0.0013258423285461714
1711129546.5542166,212,10.464303242361064,0.0013247177285968133
1711129546.683854,213,10.446817770148522,0.0013225850924639634
1711129546.7736197,214,10.44986301146587,0.0013208500692777545
1711129546.7837572,215,10.493490530070035,0.0013186310612878134
1711129547.0175278,216,10.423377053462533,0.0013174315293629963
1711129547.164827,217,10.397723386486364,0.0013220837588683802
1711129551.3777966,264,10.525096251536983,0.001299073298772176
1711129551.4409106,265,10.538446066334918,0.0013032247435371832
1711129551.5099611,266,10.5492457376077,0.0013025730176079542
1711129551.8187816,267,10.460789175531842,0.0013020574376824197
1711129552.018962,268,10.418258045794149,0.0013013446508948483
1711129552.1780477,269,10.392860863252563,0.001300711614048614
1711129556.4539351,313,10.378312633002015,0.0012849893051976214
1711129556.569213,314,10.371817818911525,0.0012835340135416407
1711129556.6023448,315,10.393473135006875,0.0012849966684977214
1711129556.641012,316,10.413184634153392,0.0012835581091385853
1711129556.6555297,317,10.441140182677536,0.0012828235746558155
1711129556.6948094,318,10.460546628670828,0.001282088411679058
1711129556.7588816,319,10.471379005264408,0.001281245748824834
1711129556.8799198,320,10.462631046243398,0.0012799739837646485
1711129557.16993,321,10.396751017778001,0.0012852640538200783
1711129557.1770535,322,10.42672136173178,0.0012888375276364154
1711129561.4601674,359,10.208937895149212,0.001280220106119565
1711129561.4839714,360,10.230441916025383,0.001279493835237291
1711129561.5081127,361,10.25183297931644,0.0012784928826413988
1711129561.9339454,362,10.157400561620667,0.0012783510250281233
1711129561.9421673,363,10.183098057712801,0.0012771846834293082
1711129562.1101792,364,10.163253443270385,0.00127999206165691
1711129562.1153584,365,10.189697705047786,0.001282973485450222
1711129562.2310328,366,10.184728369606201,0.0012822600661731157
1711129562.2661517,367,10.202582458862633,0.0012810022369717383
1711129562.288879,368,10.223922158544013,0.0012797570746877918
1711129566.3688776,411,10.256028517138397,0.0012799991598384515
1711129566.4361105,412,10.26375839363066,0.001279445527826698
1711129566.5689087,413,10.254744262241221,0.001278306901021962
1711129566.7127051,414,10.243002631398396,0.001277155922230891
1711129566.7327163,415,10.26266239333864,0.0012759559125785369
1711129566.7803292,416,10.275293219111537,0.0012751571260965788
1711129567.00058,417,10.244263585023399,0.0012741477655278121
1711129567.0934472,418,10.24545451873246,0.001273649731321198
1711129567.1287405,419,10.261097015493258,0.0012771667899266063
1711129567.1621819,420,10.277162235849904,0.0012800818397885278
1711129567.2283168,421,10.284987935363915,0.0012793053923763175
1711129567.2708888,422,10.298706809038615,0.0012784292347623274
1711129571.3809085,466,10.33581362739768,0.0012695380034876483
1711129571.4726393,467,10.336948830867552,0.0012693180517159897
1711129571.5085356,468,10.350858128581706,0.0012689513019007496
1711129571.6041944,469,10.35108101449939,0.001268552056253592
1711129571.6159613,470,10.370447191502912,0.0012680566057245782
1711129571.7373827,471,10.364747501836886,0.0012676589301690428
1711129571.9300141,472,10.342912814944034,0.001267275062658019
1711129571.9543567,473,10.359292638505229,0.0012666266765957402
1711129571.9844651,474,10.374353668039609,0.0012657873741182095
1711129572.0037663,475,10.391850216938241,0.0012653722261127672
1711129572.0065103,476,10.413100947419691,0.0012643041730928822
1711129576.6161993,512,10.17461785111752,0.0012635872699320316
1711129576.8585792,513,10.145621321019357,0.001262992910939118
1711129577.0140321,514,10.13424012892495,0.0012652521467394402
1711129577.0245707,515,10.151843494001954,0.0012649290770002939
1711129577.051926,516,10.166081890705405,0.0012673855751983878
1711129577.0760117,517,10.180949701345513,0.0012664296871458308
1711129581.4847739,562,10.183029231321575,0.0012627118847124094
1711129581.571866,563,10.185072200937125,0.0012623285527339414
1711129581.727592,564,10.174499335075566,0.001262087771233092
1711129581.8420138,565,10.171543556878037,0.001261758804321289
1711129581.8830066,566,10.182028908349656,0.0012617326035516423
1711129581.9939644,567,10.17969917539728,0.0012610530516878429
1711129582.0485702,568,10.187691421078434,0.0012641133556903247
1711129582.1275206,569,10.19116964423948,0.0012664497422417774
1711129582.192993,570,10.197122182639665,0.0012684085912871778
1711129582.221644,571,10.2097782938833,0.0012678219015251734
1711129582.2885149,572,10.215445428458068,0.001267438168292279
1711129586.3863132,598,9.95150836427499,0.0012753348685427255
1711129586.4770072,599,9.953123458373256,0.0012791630421735607
1711129586.4857166,600,9.968295481008834,0.0012787028153737386
1711129586.5303993,601,9.977500559972999,0.0012782552277982335
1711129586.76028,602,9.956104855304256,0.0012776063526191584
1711129586.948649,603,9.94168508519591,0.0012779813105391823
1711129587.12554,604,9.9292078446241,0.0012804368473836127
1711129587.2511337,605,9.92514992339101,0.001282732939917194
1711129591.4437985,645,9.900411740149535,0.0012716781261355378
1711129591.4627807,646,9.912854804498846,0.0012713106055008737
1711129591.578238,647,9.9106406953312,0.0012705182365877366
1711129591.635224,648,9.917301683184094,0.001269836484650035
1711129591.725753,649,9.918865180295734,0.0012692806349697025
1711129592.0301824,650,9.888141062880022,0.001268909527705266
1711129592.1555753,651,9.88449705238392,0.0012709882035965927
1711129592.2771473,652,9.881446213658736,0.001273340608444682
1711129596.2976935,698,9.971029969696472,0.0012748169694042479
1711129596.3952258,699,9.971421354770495,0.0012744963595454444
1711129596.3980932,700,9.98527426736966,0.0012737890652247837
1711129596.5130434,701,9.983170659971686,0.0012731212011927715
1711129596.8100684,702,9.955300835580486,0.001272489881923056
1711129597.0084069,703,9.94152530347936,0.0012730483818868146
1711129597.0917077,704,9.94394799690954,0.001274490559642965
1711129597.1325831,705,9.952325851363726,0.001276057831784512
1711129597.2264953,706,9.953247612817567,0.0012753904710072633
1711129601.325566,752,10.022567636436786,0.0012714124106346294
1711129601.3989868,753,10.02608328792226,0.001270948336577194
1711129601.5927427,754,10.01356423617087,0.0012706274695358478
