Time: 40.59s, Throughput: 2656 ops/s, Avg Latency: 0.00037 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 41.60s, Throughput: 2326 ops/s, Avg Latency: 0.00043 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 42.61s, Throughput: 2517 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 43.66s, Throughput: 2415 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 44.67s, Throughput: 2343 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 45.67s, Throughput: 2435 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 46.69s, Throughput: 2370 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 47.69s, Throughput: 2482 ops/s, Avg Latency: 0.00040 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 48.70s, Throughput: 2450 ops/s, Avg Latency: 0.00043 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 49.76s, Throughput: 2425 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 50.77s, Throughput: 2385 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 51.78s, Throughput: 2320 ops/s, Avg Latency: 0.00043 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 52.78s, Throughput: 2394 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 53.79s, Throughput: 2385 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 54.80s, Throughput: 2317 ops/s, Avg Latency: 0.00043 s, Avg CPU Usage: 32.280150454545456m, Avg Memory Usage: 12.421164772727273Mi
Time: 55.81s, Throughput: 2668 ops/s, Avg Latency: 0.00039 s, Avg CPU Usage: 32.28131309090909m, Avg Memory Usage: 12.40625Mi
Time: 56.86s, Throughput: 2624 ops/s, Avg Latency: 0.00038 s, Avg CPU Usage: 32.28131309090909m, Avg Memory Usage: 12.40625Mi
Time: 57.87s, Throughput: 2555 ops/s, Avg Latency: 0.00039 s, Avg CPU Usage: 32.28131309090909m, Avg Memory Usage: 12.40625Mi
Time: 58.87s, Throughput: 2607 ops/s, Avg Latency: 0.00038 s, Avg CPU Usage: 32.28131309090909m, Avg Memory Usage: 12.40625Mi

