timestamp,total_requests,throughput,average_latency
1711130764.4031677,275,6.08951176879489,0.0010894454609264026
1711130764.4142509,276,6.110155886239304,0.0010885691297227058
1711130764.4253163,277,6.130792269652482,0.0010877008472539027
1711130764.4364204,278,6.151413290138573,0.0010868688281491505
1711130764.4475205,279,6.172024733145204,0.0010858257184319172
1711130764.4585552,280,6.192635003270656,0.0010850225176130023
1711130764.4696584,281,6.213225815479829,0.0010840239473933427
1711130764.4806879,282,6.233816672071655,0.001082832931626773
1711130764.4916546,283,6.254406157643501,0.0010820547178019063
1711130764.502749,284,6.274967980305285,0.0010813516630253323
1711130764.5138853,285,6.295513889447436,0.001081152129591557
1711130764.52516,286,6.316030371217091,0.0010801628753021881
1711130764.5361886,287,6.336571094592772,0.001079268571807117
1711130764.5472608,288,6.3570956949501065,0.0010781577891773647
1711130764.5581899,289,6.377630398503059,0.0010773277612705957
1711130764.5693183,290,6.398127063623969,0.001076357940147663
1711130764.5803764,291,6.418623624038013,0.0010756569629682298
1711130764.5915308,292,6.43909651131476,0.0010747836060719948
1711130764.602622,293,6.459568327041068,0.0010744500078845756
1711130764.6138995,294,6.480003538888801,0.0010738348474307936
1711130764.625096,295,6.500440171516007,0.0010728690583827131
1711130764.6361024,296,6.520894053824676,0.0010716375466939564
1711130764.6470356,297,6.541348564836781,0.0010711745380953908
1711130764.6581936,298,6.56176074265601,0.0010702281990307289
1711130764.6692243,299,6.582181340715192,0.0010698989880922247
1711130764.6804843,300,6.602558694877373,0.0010690061251322428
1711130764.6914966,301,6.6229620505215525,0.0010690728691329196
1711130764.7028234,302,6.643309564028102,0.001068476809571121
1711130764.713962,303,6.663674508026211,0.0010676147914168857
1711130764.7250135,304,6.684042301102014,0.0010665710035123322
1711130764.7360315,305,6.704405117484825,0.001065750591090468
1711130764.747034,306,6.724760362986583,0.001064809319240595
1711130764.758042,307,6.745104954594409,0.001064300537109375
1711130764.769167,308,6.76542234652768,0.0010632338461937843
1711130764.7801545,309,6.785750275560513,0.001062538245735045
1711130764.7912664,310,6.806049800222678,0.0010620793988627773
1711130764.8023844,311,6.826338529528226,0.0010614280148717751
1711130764.813531,312,6.846613060425663,0.0010605790676214756
1711130764.8245637,313,6.866894808350127,0.001060022713658147
1711130764.8356924,314,6.887152262039337,0.001059326396626272
1711130764.8467295,315,6.907413696053436,0.0010599333142477369
1711130764.8582385,316,6.927593666325228,0.0010596355305442326
1711130764.8694355,317,6.947810943787091,0.0010587153750639233
1711130764.8803885,318,6.968055576989523,0.001057621068174734
1711130764.8912745,319,6.988300751481179,0.0010565754761890185
1711130764.9022622,320,7.00852064537986,0.0010554768145084382
1711130764.9132733,321,7.028727213834385,0.0010546813501375858
1711130764.9243348,322,7.0489162782105605,0.001054029287018391
1711130764.9354417,323,7.069088522261823,0.001053452122691246
1711130764.9465632,324,7.089248705666683,0.0010529690318637425
1711130764.9577281,325,7.109392331489704,0.001052713394165039
1711130764.9689527,326,7.12951682665965,0.0010519846816735765
1711130764.9800215,327,7.149655781482744,0.0010518079868514969
1711130764.9912696,328,7.169756891640308,0.0010511359063590446
1711130765.002257,329,7.189889065109666,0.001050580961001318
1711130765.0133822,330,7.209989901995063,0.0010506716641512784
1711130765.02472,331,7.230047383365977,0.00105582983472196
1711130765.0377853,332,7.249821423856007,0.001059455325804561
1711130765.0503,333,7.269671588466358,0.0010592121261734147
1711130765.0615308,334,7.28971513414546,0.0010582579824025046
1711130765.0724933,335,7.309791675502006,0.0010581009423554833
1711130765.0837245,336,7.329815649501153,0.0010576489425840833
1711130765.0948863,337,7.349840935230512,0.00105691734336604
1711130765.1059508,338,7.369872105202704,0.0010562401551466722
1711130765.1170332,339,7.389890731702835,0.001055503665170135
1711130765.12809,340,7.409903846324217,0.0010547413545496324
1711130765.1391368,341,7.429908900740051,0.001054180682229856
1711130765.1502426,342,7.449894770413198,0.0010531401773642378
1711130765.161124,343,7.469907470003673,0.00105241019246182
1711130765.1721323,344,7.4898900022124355,0.00105153058850488
1711130765.1830912,345,7.509871025615283,0.0010506367337876472
1711130765.1940691,346,7.5298393927725895,0.0010495213414892296
1711130765.2049146,347,7.549819995930093,0.001048499637790647
1711130765.2158234,348,7.569780729110359,0.0010477023563165773
1711130765.2268143,349,7.58971845441488,0.0010470961431377596
1711130765.2379053,350,7.609630083809447,0.0010464314052036831
1711130769.3619683,479,9.557365405813961,0.0010248584388939971
1711130769.5039532,480,9.550262359393333,0.0010248750448226928
1711130769.653362,481,9.541793900188077,0.0010248836509403221
1711130769.8110046,482,9.531823193352727,0.001025134102437506
1711130769.9778268,483,9.520191615060966,0.0010248997690267938
1711130770.1541293,484,9.506865642229219,0.0010247343827870267
1711130774.381972,498,9.031815135048411,0.0010461711500543188
1711130774.8987799,499,8.965914540889823,0.0010466159942871583
1711130780.2284756,506,8.29713289689157,0.0010588607298055656
1711130794.461328,515,6.846785959846594,0.0010773621716545624
1711130810.171931,525,5.773775101312268,0.0010995038350423178
1711130814.4050283,531,5.5799892023311655,0.001105176975947091
1711130814.8923347,532,5.562015484398547,0.0011083689847386868
1711130819.2482827,549,5.489740401479905,0.0011225267837607796
1711130819.3835266,550,5.49231226295987,0.0011226762424815784
1711130819.511912,551,5.495253036185604,0.0011228186681785514
1711130819.6337664,552,5.4985439920533326,0.0011226984037869217
1711130819.7494588,553,5.502164280586012,0.0011221832220205132
1711130819.85934,554,5.506094238371135,0.0011221209157675181
1711130819.964267,555,5.510286640210566,0.0011215850039645358
1711130820.0641603,556,5.514745640464349,0.0011209601120983096
