Time,Average Throughput,Average Latency,CPU Usage %,Memory Usage %,Node Count
1712664769.9467988,3905.266666666667,0.00025524771993553697,77.5936935,60.8154296875,7
1712664799.9163043,4194.633333333333,0.0002363705066870705,76.7195605,67.724609375,7
1712664833.2890508,4017.6666666666665,0.00024697943801139287,69.557142,73.779296875,7
1712664859.9048572,3654.866666666667,0.0002408792921117462,73.2602335,73.681640625,7
1712664889.9161136,4106.6,0.00024188443839111686,81.8418705,77.2705078125,7
1712664919.9539425,3387.9666666666667,0.000293341907365393,58.895481000000004,77.392578125,7
1712664952.3085637,3645.3,0.0002720156286181353,53.3367125,79.19921875,7
1712664979.9422789,4070.8,0.00022463335484409772,76.87711300000001,80.322265625,7
1712665009.9075313,4185.133333333333,0.0002369350646212354,84.239226,82.275390625,7
1712665039.8857367,4199.2,0.00023635747418022387,85.6610635,83.349609375,7
1712665069.9464254,4171.366666666667,0.00023832168827234753,86.206127,85.986328125,7
1712665099.931049,4263.9,0.00023265194982161896,83.60632650000001,85.0830078125,7
1712665129.9804096,3990.9,0.00024859340913728245,80.332477,95.751953125,7
1712665159.9393787,4273.633333333333,0.00023180829108043578,82.11501249999999,87.1337890625,7
1712665190.2942767,4456.2,0.0002224831008066504,82.1784305,86.2548828125,7
1712665219.8880327,4157.433333333333,0.00023565699870025747,82.92402499999999,87.8662109375,7


